18376,Steak & Brisket,Small,Pho,2026-07-17 17:52:00.0000000,14.99,191652,TO GO,NULL,Credit Card,17,Friday
18377,Steak,Large,Pho,2026-07-17 17:52:00.0000000,15.99,191652,TO GO,NULL,Credit Card,17,Friday
18378,TOGO,NULL,TOGO,2026-07-17 17:52:00.0000000,0.5,191652,TO GO,NULL,Credit Card,17,Friday
18379,TOGO,NULL,TOGO,2026-07-17 17:52:00.0000000,0.5,191652,TO GO,NULL,Credit Card,17,Friday
1838,"Steak, Brisket, Flank, tendon & Tripe",Large,Pho,2026-06-06 22:13:00.0000000,15.99,185879,TO GO,NULL,Credit Card,22,Saturday
18380,Steak & Brisket,Large,Pho,2026-07-17 17:55:00.0000000,15.99,191653,TO GO,NULL,Credit Card,17,Friday
18381,Chicken,Small,Pho,2026-07-17 17:55:00.0000000,14.99,191653,TO GO,NULL,Credit Card,17,Friday
18382,Brisket,Large,Pho,2026-07-17 17:55:00.0000000,15.99,191653,TO GO,NULL,Credit Card,17,Friday
18383,Pork Fried Rice,NULL,Fried Rice,2026-07-17 17:55:00.0000000,15.49,191653,TO GO,NULL,Credit Card,17,Friday
18384,Spring Roll,NULL,Appetizer,2026-07-17 17:55:00.0000000,3.25,191653,TO GO,NULL,Credit Card,17,Friday
18385,TOGO,NULL,TOGO,2026-07-17 17:55:00.0000000,0.5,191653,TO GO,NULL,Credit Card,17,Friday
18386,TOGO,NULL,TOGO,2026-07-17 17:55:00.0000000,0.5,191653,TO GO,NULL,Credit Card,17,Friday
18387,TOGO,NULL,TOGO,2026-07-17 17:55:00.0000000,0.5,191653,TO GO,NULL,Credit Card,17,Friday
18388,Steak & Tripe,Small,Pho,2026-07-17 18:00:00.0000000,14.99,191654,TO GO,NULL,Cash,18,Friday
18389,TOGO,NULL,TOGO,2026-07-17 18:00:00.0000000,0.5,191654,TO GO,NULL,Cash,18,Friday
1839,TOGO,NULL,TOGO,2026-06-06 22:13:00.0000000,0.5,185879,TO GO,NULL,Credit Card,22,Saturday
18390,Brisket,Small,Pho,2026-07-17 18:04:00.0000000,14.99,191655,TABLE,C2,Cash,18,Friday
18391,Fried Roll,NULL,Appetizer,2026-07-17 18:10:00.0000000,3.25,191656,TO GO,NULL,Credit Card,18,Friday
18392,Chicken,NULL,Grilled & Wok,2026-07-17 18:15:00.0000000,14.49,191657,TABLE,C1,Credit Card,18,Friday
18393,Steak & Brisket,Small,Pho,2026-07-17 18:15:00.0000000,14.99,191657,TABLE,C1,Credit Card,18,Friday
18394,Vege & Tofu,Large,Pho,2026-07-17 18:15:00.0000000,15.99,191657,TABLE,C1,Credit Card,18,Friday
18395,Steak,Small,Pho,2026-07-17 18:15:00.0000000,14.99,191657,TABLE,C1,Credit Card,18,Friday
18396,Sweet Beef,NULL,French Bread,2026-07-17 18:18:00.0000000,9.99,191658,TO GO,NULL,Credit Card,18,Friday
18397,Chicken,Large,Pho,2026-07-17 18:18:00.0000000,15.99,191658,TO GO,NULL,Credit Card,18,Friday
18398,Spring Roll,NULL,Appetizer,2026-07-17 18:18:00.0000000,3.25,191658,TO GO,NULL,Credit Card,18,Friday
18399,Tendon,Large,Pho,2026-07-17 18:18:00.0000000,15.99,191658,TO GO,NULL,Credit Card,18,Friday
184,TOGO,NULL,TOGO,2026-06-03 17:34:00.0000000,0.5,185322,TO GO,NULL,Credit Card,17,Wednesday
1840,TOGO,NULL,TOGO,2026-06-06 22:13:00.0000000,0.5,185879,TO GO,NULL,Credit Card,22,Saturday
18400,Steak & Brisket,Small,Pho,2026-07-17 18:18:00.0000000,14.99,191658,TO GO,NULL,Credit Card,18,Friday
18401,Steak & Tendon,Large,Pho,2026-07-17 18:18:00.0000000,15.99,191658,TO GO,NULL,Credit Card,18,Friday
18402,TOGO,NULL,TOGO,2026-07-17 18:18:00.0000000,0.5,191658,TO GO,NULL,Credit Card,18,Friday
18403,TOGO,NULL,TOGO,2026-07-17 18:18:00.0000000,0.5,191658,TO GO,NULL,Credit Card,18,Friday
18404,Gyoza,NULL,Appetizer,2026-07-17 18:22:00.0000000,9.59,191659,TO GO,NULL,Credit Card,18,Friday
18405,Spring Roll,NULL,Appetizer,2026-07-17 18:22:00.0000000,3.25,191659,TO GO,NULL,Credit Card,18,Friday
18406,Steak & Tripe,Large,Pho,2026-07-17 18:22:00.0000000,15.99,191659,TO GO,NULL,Credit Card,18,Friday
18407,Gyoza,NULL,Appetizer,2026-07-17 18:23:00.0000000,9.59,191660,TABLE,B2,Credit Card,18,Friday
18408,"Steak, Brisket, Flank, tendon & Tripe",Small,Pho,2026-07-17 18:28:00.0000000,14.99,191661,TABLE,B3,Credit Card,18,Friday
18409,Orange Crush,NULL,Coffee & Drinks,2026-07-17 18:28:00.0000000,3.29,191661,TABLE,B3,Credit Card,18,Friday
1841,TOGO,NULL,TOGO,2026-06-06 22:13:00.0000000,0.5,185879,TO GO,NULL,Credit Card,22,Saturday
18410,Pineapple,+1 add-in,Bubble Juice,2026-07-17 18:29:00.0000000,6.98,191662,TO GO,NULL,Credit Card,18,Friday
18411,Fried Roll,NULL,Appetizer,2026-07-17 18:29:00.0000000,3.25,191662,TO GO,NULL,Credit Card,18,Friday
18412,Extra Soup (TOGO),NULL,Side Orders,2026-07-17 18:29:00.0000000,6.5,191663,TABLE,A1,Credit Card,18,Friday
18413,BBQ Pork Spring Roll,NULL,Appetizer,2026-07-17 18:29:00.0000000,4.99,191663,TABLE,A1,Credit Card,18,Friday
18414,Fried Roll,NULL,Appetizer,2026-07-17 18:29:00.0000000,3.25,191663,TABLE,A1,Credit Card,18,Friday
18415,Gyoza,NULL,Appetizer,2026-07-17 18:29:00.0000000,9.59,191663,TABLE,A1,Credit Card,18,Friday
18416,Hot Tea,NULL,Coffee & Drinks,2026-07-17 18:31:00.0000000,1.99,191664,TABLE,B3,Credit Card,18,Friday
18417,Hot Tea,NULL,Coffee & Drinks,2026-07-17 18:31:00.0000000,1.99,191664,TABLE,B3,Credit Card,18,Friday
18418,Steak & Tripe,Large,Pho,2026-07-17 18:31:00.0000000,15.99,191664,TABLE,B3,Credit Card,18,Friday
18419,Brisket,Large,Pho,2026-07-17 18:36:00.0000000,15.99,191665,TO GO,NULL,Credit Card,18,Friday
1842,Fried Roll,NULL,Appetizer,2026-06-06 23:35:00.0000000,3.25,185880,TABLE,A2,Credit Card,23,Saturday
18420,Taro,NULL,Bubble Juice,2026-07-17 18:36:00.0000000,5.99,191665,TO GO,NULL,Credit Card,18,Friday
18421,Spring Roll,NULL,Appetizer,2026-07-17 18:36:00.0000000,3.25,191665,TO GO,NULL,Credit Card,18,Friday
18422,Steak & Brisket,Large,Pho,2026-07-17 18:37:00.0000000,15.99,191666,TABLE,C3,Credit Card,18,Friday
18423,Rice,NULL,Side Orders,2026-07-17 18:37:00.0000000,2.99,191666,TABLE,C3,Credit Card,18,Friday
18424,Brisket & Meat,Small,Pho,2026-07-17 18:38:00.0000000,14.99,191667,TO GO,NULL,Cash,18,Friday
18425,Fried Roll,NULL,Appetizer,2026-07-17 18:38:00.0000000,3.25,191667,TO GO,NULL,Cash,18,Friday
18426,Combination Fried Rice,NULL,Fried Rice,2026-07-17 18:38:00.0000000,16.49,191667,TO GO,NULL,Cash,18,Friday
18427,TOGO,NULL,TOGO,2026-07-17 18:38:00.0000000,0.5,191667,TO GO,NULL,Cash,18,Friday
18428,TOGO,NULL,TOGO,2026-07-17 18:38:00.0000000,0.5,191667,TO GO,NULL,Cash,18,Friday
18429,Chicken,NULL,Grilled & Wok,2026-07-17 18:40:00.0000000,14.49,191668,TABLE,C1,Cash,18,Friday
1843,Kid's Meal,NULL,Kid's Meal,2026-06-06 23:35:00.0000000,10.99,185880,TABLE,A2,Credit Card,23,Saturday
18430,Chicken Fried Rice,NULL,Fried Rice,2026-07-17 18:55:00.0000000,15.49,191669,TABLE,A3,Credit Card,18,Friday
18431,Combination Fried Rice,NULL,Fried Rice,2026-07-17 18:55:00.0000000,16.49,191669,TABLE,A3,Credit Card,18,Friday
18432,Spring Roll,NULL,Appetizer,2026-07-17 19:10:00.0000000,3.25,191670,TO GO,NULL,Credit Card,19,Friday
18433,Fried Roll,NULL,Appetizer,2026-07-17 19:10:00.0000000,3.25,191670,TO GO,NULL,Credit Card,19,Friday
18434,Brisket,Large,Pho,2026-07-17 19:10:00.0000000,15.99,191670,TO GO,NULL,Credit Card,19,Friday
18435,Honeydew,NULL,Bubble Juice,2026-07-17 19:10:00.0000000,5.99,191670,TO GO,NULL,Credit Card,19,Friday
18436,"Brisket, Fatty, Flank & Tendon",Small,Pho,2026-07-17 19:10:00.0000000,14.99,191670,TO GO,NULL,Credit Card,19,Friday
18437,TOGO,NULL,TOGO,2026-07-17 19:10:00.0000000,0.5,191670,TO GO,NULL,Credit Card,19,Friday
18438,TOGO,NULL,TOGO,2026-07-17 19:10:00.0000000,0.5,191670,TO GO,NULL,Credit Card,19,Friday
18439,Orange Crush,NULL,Coffee & Drinks,2026-07-17 19:11:00.0000000,3.29,191671,TABLE,A5,Credit Card,19,Friday
1844,Seafood,NULL,Pho,2026-06-06 23:40:00.0000000,17.49,185881,TO GO,NULL,Credit Card,23,Saturday
18440,Steak,Large,Pho,2026-07-17 19:11:00.0000000,15.99,191671,TABLE,A5,Credit Card,19,Friday
18441,Fried Roll,NULL,Appetizer,2026-07-17 19:11:00.0000000,3.25,191671,TABLE,A5,Credit Card,19,Friday
18442,Kid's Meal,NULL,Kid's Meal,2026-07-17 19:11:00.0000000,10.99,191671,TABLE,A5,Credit Card,19,Friday
18443,Pork & Fried Roll,NULL,Noodle Salad Bowl,2026-07-17 19:11:00.0000000,15.99,191671,TABLE,A5,Credit Card,19,Friday
18444,Fried Roll,NULL,Appetizer,2026-07-17 19:11:00.0000000,3.25,191671,TABLE,A5,Credit Card,19,Friday
18445,Steak & Brisket,Large,Pho,2026-07-17 19:12:00.0000000,15.99,191672,TO GO,NULL,Credit Card,19,Friday
18446,TOGO,NULL,TOGO,2026-07-17 19:12:00.0000000,0.5,191672,TO GO,NULL,Credit Card,19,Friday
18447,Combination Fried Rice,NULL,Fried Rice,2026-07-17 19:12:00.0000000,16.49,191673,TABLE,A2,Cash,19,Friday
18448,Spring Roll,NULL,Appetizer,2026-07-17 19:12:00.0000000,3.25,191674,TO GO,NULL,Credit Card,19,Friday
18449,Fried Roll,NULL,Appetizer,2026-07-17 19:12:00.0000000,3.25,191674,TO GO,NULL,Credit Card,19,Friday
1845,Brisket,Large,Pho,2026-06-06 23:40:00.0000000,15.99,185881,TO GO,NULL,Credit Card,23,Saturday
18450,Steak,Large,Pho,2026-07-17 19:17:00.0000000,15.99,191675,TABLE,C4,Credit Card,19,Friday
18451,Steak & Brisket,Small,Pho,2026-07-17 19:17:00.0000000,14.99,191675,TABLE,C4,Credit Card,19,Friday
18452,Peach,NULL,Bubble Juice,2026-07-17 19:21:00.0000000,5.99,191676,TO GO,NULL,Credit Card,19,Friday
18453,"Steak, Brisket, Flank, tendon & Tripe",Large,Pho,2026-07-17 19:21:00.0000000,15.99,191676,TO GO,NULL,Credit Card,19,Friday
18454,Thang Noodles,Small,Pho,2026-07-17 19:21:00.0000000,14.99,191676,TO GO,NULL,Credit Card,19,Friday
18455,TOGO,NULL,TOGO,2026-07-17 19:21:00.0000000,0.5,191676,TO GO,NULL,Credit Card,19,Friday
18456,TOGO,NULL,TOGO,2026-07-17 19:21:00.0000000,0.5,191676,TO GO,NULL,Credit Card,19,Friday
18457,NO MEAT PHO LARGE,NULL,Pho,2026-07-17 19:36:00.0000000,12.99,191677,TABLE,A3,Credit Card,19,Friday
18458,Steak,Large,Pho,2026-07-17 19:37:00.0000000,15.99,191678,TABLE,A4,Credit Card,19,Friday
18459,Spring Roll,NULL,Appetizer,2026-07-17 19:37:00.0000000,3.25,191678,TABLE,A4,Credit Card,19,Friday
1846,Steak & Brisket,Small,Pho,2026-06-06 23:40:00.0000000,14.99,185881,TO GO,NULL,Credit Card,23,Saturday
18460,Brisket,Small,Pho,2026-07-17 19:46:00.0000000,14.99,191679,TABLE,C1,Credit Card,19,Friday
18461,NO MEAT PHO LARGE,NULL,Pho,2026-07-17 19:49:00.0000000,12.99,191680,TO GO,NULL,Credit Card,19,Friday
18462,Steak & Brisket,Large,Pho,2026-07-17 19:49:00.0000000,15.99,191680,TO GO,NULL,Credit Card,19,Friday
18463,Steak,Large,Pho,2026-07-17 19:49:00.0000000,15.99,191680,TO GO,NULL,Credit Card,19,Friday
18464,Brisket & Flank,Small,Pho,2026-07-17 19:49:00.0000000,14.99,191680,TO GO,NULL,Credit Card,19,Friday
18465,Thai Tea,NULL,Coffee & Drinks,2026-07-17 19:49:00.0000000,5.99,191680,TO GO,NULL,Credit Card,19,Friday
18466,TOGO,NULL,TOGO,2026-07-17 19:49:00.0000000,0.5,191680,TO GO,NULL,Credit Card,19,Friday
18467,TOGO,NULL,TOGO,2026-07-17 19:49:00.0000000,0.5,191680,TO GO,NULL,Credit Card,19,Friday
18468,TOGO,NULL,TOGO,2026-07-17 19:49:00.0000000,0.5,191680,TO GO,NULL,Credit Card,19,Friday
18469,Chicken & Beef,NULL,Grilled & Wok,2026-07-17 19:57:00.0000000,16.49,191681,TO GO,NULL,Credit Card,19,Friday
1847,TOGO,NULL,TOGO,2026-06-06 23:40:00.0000000,0.5,185881,TO GO,NULL,Credit Card,23,Saturday
18470,Steak,Large,Pho,2026-07-17 19:57:00.0000000,15.99,191681,TO GO,NULL,Credit Card,19,Friday
18471,BBQ Pork Spring Roll,NULL,Appetizer,2026-07-17 19:57:00.0000000,4.99,191681,TO GO,NULL,Credit Card,19,Friday
